N,P,K,temperature,humidity,ph,rainfall,label
17,123,201,23.82,93.31,5.62,108.87,apple
22,130,203,23.44,93.06,6.06,106.38,apple
4,129,199,23.03,93.29,5.61,109.88,apple
7,124,203,21.13,92.1,5.75,121.98,apple
22,126,200,23.19,94.79,5.83,122.15,apple
37,143,201,22.89,92.02,6.63,113.28,apple
27,131,202,23.47,90.73,6.75,113.51,apple
34,131,199,23.75,91.26,6.77,112.1,apple
21,128,201,21.98,90.2,5.91,100.16,apple
39,144,199,23.19,91.73,6.51,120.14,apple
38,130,203,21.8,94.95,5.54,115.09,apple
26,137,196,23.82,90.91,6.43,105.57,apple
12,134,199,21.48,90.85,6.13,118.93,apple
36,122,199,21.3,90.08,6.49,115.06,apple
7,126,195,23.5,94.87,5.7,105.79,apple
35,143,199,21.15,90.2,6.36,109.82,apple
1,135,195,23.36,91.53,5.56,114.71,apple
16,144,200,21.83,93.55,5.91,122.61,apple
15,134,196,22.28,94.16,6.71,105.61,apple
9,140,204,21.29,92.25,6.01,121.77,apple
3,125,203,21.15,92.46,6.16,108.36,apple
16,133,197,22.72,94.03,6.64,103.85,apple
6,127,199,22.23,93.4,5.59,100.87,apple
16,137,197,22.92,91.3,6.83,122.39,apple
12,126,199,21.72,93.36,6.74,116.83,apple
33,130,197,23.21,91.8,6.51,106.77,apple
3,145,197,23.97,94.89,6.69,116.49,apple
23,142,198,22.4,93.1,6.12,110.69,apple
13,134,204,21.6,94.67,6.53,120.58,apple
22,139,195,23.46,90.2,6.83,124.8,apple
12,125,203,21.76,94.33,5.65,103.15,apple
39,137,203,21.97,93.38,6.39,115.08,apple
27,134,199,21.83,93.84,5.84,117.31,apple
9,136,202,21.66,90.3,5.7,115.15,apple
34,121,202,22.02,92.39,6.89,108.3,apple
19,120,196,21.78,90.14,6.45,110.66,apple
22,124,198,22.99,94.83,5.58,122.26,apple
23,134,200,21.21,90.45,6.4,108.52,apple
37,130,196,23.14,91.47,6.29,117.45,apple
36,140,202,23.04,94.73,5.94,100.03,apple
11,125,202,22.9,92.97,5.52,118.22,apple
13,137,201,22.03,90.67,5.64,120.79,apple
37,136,196,22.21,93.64,6.67,102.96,apple
0,138,199,21.76,90.06,6.31,121.28,apple
38,134,200,21.26,92.74,6.07,115.18,apple
16,126,196,21.94,90.48,5.77,124.68,apple
18,133,204,23.99,92.91,6.72,108.17,apple
12,130,202,23.05,91.58,5.7,115.81,apple
5,134,202,23.1,93.77,6.81,112.5,apple
29,135,197,21.08,91.42,6.16,115.43,apple
34,125,196,40.76,80.54,6.22,70.86,grapes
22,122,196,11.59,82.93,6.32,67.34,grapes
26,141,195,24.94,83.45,5.88,68.08,grapes
25,142,203,27.83,83.65,6.05,71.41,grapes
19,125,202,26.92,81.79,6.87,65.21,grapes
13,121,203,31.87,81.66,6.51,68.96,grapes
30,131,199,39.78,81.25,5.68,70.85,grapes
39,129,196,19.54,82.53,5.74,71.58,grapes
40,131,199,21.62,80.58,6.82,69.15,grapes
15,136,199,30.04,80.31,6.72,74.41,grapes
26,144,197,24.23,83.01,6.37,69.01,grapes
14,123,199,13.53,83.67,5.81,65.59,grapes
22,135,204,27.62,81.73,6.7,70.4,grapes
3,134,204,21.47,81.48,5.72,66.51,grapes
17,135,196,39.95,83.78,6.38,73.28,grapes
3,132,201,36.17,83.92,5.92,74.41,grapes
5,142,205,14.02,83.61,5.56,69.05,grapes
21,135,204,30.86,82.41,6.71,74.51,grapes
1,145,196,35.69,81.4,5.7,69.4,grapes
26,130,196,28.38,84.51,6.07,67.16,grapes
18,121,203,36.1,82.94,6.03,73.0,grapes
22,141,201,34.67,82.99,6.12,74.58,grapes
22,135,197,29.27,82.86,5.78,65.6,grapes
24,139,200,15.71,83.33,5.62,69.42,grapes
7,125,197,21.15,80.26,6.1,70.12,grapes
19,130,203,12.94,82.53,5.59,65.71,grapes
23,134,204,26.97,84.8,5.57,65.98,grapes
2,125,200,29.95,80.23,6.92,73.42,grapes
12,122,197,12.32,80.62,6.28,67.46,grapes
14,145,202,40.27,80.71,6.07,70.55,grapes
3,120,202,29.82,82.05,6.23,69.15,grapes
1,128,197,11.35,84.78,6.4,72.29,grapes
13,130,197,11.3,80.9,6.7,71.78,grapes
22,132,204,10.47,81.4,6.02,72.82,grapes
40,126,204,36.24,81.12,6.1,69.1,grapes
39,125,203,19.36,83.65,6.13,70.78,grapes
33,140,204,10.03,83.46,5.71,69.16,grapes
22,130,200,41.88,80.68,6.51,68.96,grapes
5,124,204,37.91,84.54,6.99,67.08,grapes
14,137,200,22.23,81.79,6.39,70.76,grapes
6,132,201,27.39,81.05,6.61,65.25,grapes
14,140,201,16.88,83.47,6.35,72.96,grapes
29,135,200,12.53,81.31,6.13,70.99,grapes
21,127,195,24.87,81.43,6.6,65.24,grapes
23,144,197,24.04,80.46,6.44,70.51,grapes
16,133,204,14.67,80.11,6.79,70.77,grapes
36,135,203,22.61,83.75,6.87,70.72,grapes
7,127,197,16.39,81.53,6.33,70.88,grapes
17,135,196,10.98,80.86,6.28,67.14,grapes
11,130,203,8.47,83.25,6.5,72.99,grapes
37,121,197,38.13,82.29,6.35,71.63,grapes
27,143,205,32.49,81.44,6.82,65.49,grapes
9,142,198,15.5,80.69,6.79,70.0,grapes
27,126,203,33.84,81.56,6.12,67.1,grapes
39,136,204,18.32,83.91,6.65,71.92,grapes
39,130,196,30.84,83.65,6.36,67.07,grapes
20,128,199,29.94,83.73,5.85,69.05,grapes
11,125,203,38.91,81.85,6.63,73.97,grapes
34,125,205,20.81,81.7,5.59,69.86,grapes
4,126,198,35.5,84.38,5.95,73.59,grapes
34,139,196,31.47,84.73,6.52,68.32,grapes
20,136,200,12.08,81.56,6.7,73.61,grapes
5,144,198,30.52,83.76,6.72,74.46,grapes
13,141,196,31.97,83.71,6.52,67.52,grapes
35,124,196,32.39,82.38,6.77,68.83,grapes
7,141,200,14.43,83.6,6.27,71.04,grapes
18,141,203,32.12,80.53,6.76,71.71,grapes
28,129,204,32.66,80.56,6.11,73.86,grapes
2,144,202,29.47,81.35,5.87,74.42,grapes
12,139,199,12.73,80.05,6.32,74.76,grapes
15,129,198,25.7,82.2,6.82,70.06,grapes
20,123,205,16.5,80.37,6.49,70.95,grapes
17,131,203,14.65,84.1,6.47,69.19,grapes
18,126,203,25.44,81.6,6.39,74.96,grapes
17,143,198,9.86,81.02,6.13,67.2,grapes
0,143,203,33.24,80.84,5.68,65.68,grapes
29,143,199,12.05,82.56,6.02,68.75,grapes
25,138,196,9.21,84.97,5.85,65.54,grapes
8,121,199,35.28,81.71,6.17,71.76,grapes
20,142,204,8.34,83.89,6.19,74.89,grapes
19,145,203,16.45,82.69,6.99,73.58,grapes
4,138,198,8.24,82.02,5.85,73.19,grapes
13,141,195,18.47,81.21,5.85,65.68,grapes
7,134,198,22.19,81.88,6.81,74.05,grapes
20,128,196,40.42,80.3,5.95,67.98,grapes
13,124,203,12.16,83.17,5.69,65.71,grapes
36,125,203,26.52,80.39,6.93,67.47,grapes
34,124,204,8.45,82.56,6.65,74.35,grapes
36,140,204,14.77,81.42,5.93,68.77,grapes
16,134,197,31.5,80.84,5.97,70.03,grapes
32,138,201,13.3,82.74,5.63,68.77,grapes
17,121,198,40.49,84.77,6.03,65.43,grapes
7,130,204,12.8,83.82,5.66,74.81,grapes
15,139,198,29.34,80.96,5.72,74.38,grapes
37,142,201,35.48,80.35,6.0,68.14,grapes
25,129,196,28.28,84.07,6.07,66.32,grapes
8,126,198,29.86,83.0,6.54,68.63,grapes
33,125,200,35.23,80.9,5.66,73.84,grapes
14,137,195,31.46,81.58,5.58,71.1,grapes
10,130,196,13.0,81.49,5.63,74.11,grapes
0,17,6,17.69,94.63,6.32,119.32,orange
8,24,10,32.11,92.77,7.07,103.91,orange
7,28,8,19.3,93.8,6.68,119.04,orange
30,20,14,11.24,91.29,6.93,104.54,orange
30,28,9,18.55,94.81,6.89,109.78,orange
14,28,11,29.05,94.06,6.68,108.67,orange
34,14,13,33.52,93.12,7.48,116.1,orange
34,15,6,20.05,93.37,6.9,114.98,orange
14,21,7,28.73,92.73,6.41,105.84,orange
30,17,7,34.18,93.58,7.91,108.54,orange
19,27,10,27.68,91.26,6.89,102.47,orange
8,5,5,34.43,91.21,7.33,116.78,orange
22,9,12,25.01,93.66,7.54,119.51,orange
23,14,11,11.71,94.49,6.24,106.56,orange
33,20,9,21.84,94.27,6.68,117.39,orange
4,24,13,14.55,92.15,6.33,114.13,orange
21,21,7,15.29,90.21,6.64,111.19,orange
34,22,9,33.83,93.6,7.86,110.55,orange
10,6,12,13.03,91.51,7.06,111.29,orange
24,9,9,25.43,94.85,7.46,118.45,orange
30,20,7,26.67,93.12,7.2,109.8,orange
21,13,10,14.94,94.03,6.37,101.7,orange
17,21,9,16.92,92.79,6.69,118.66,orange
37,18,8,28.43,90.18,6.95,106.73,orange
37,5,11,28.52,92.43,6.17,119.45,orange
21,20,7,22.09,92.15,6.15,102.12,orange
33,11,7,22.62,93.84,6.12,111.54,orange
5,6,6,30.85,90.59,6.09,108.76,orange
34,12,9,11.0,92.25,7.16,111.42,orange
13,13,6,19.17,90.5,7.53,119.33,orange
39,27,11,27.52,91.43,7.26,109.11,orange
19,24,8,17.95,94.62,6.11,109.71,orange
37,20,10,16.24,91.72,7.7,111.18,orange
21,7,5,34.09,91.88,7.21,101.59,orange
27,28,11,13.15,92.91,7.53,108.13,orange
35,21,14,25.59,90.66,6.62,104.04,orange
36,24,12,17.52,90.92,7.51,109.48,orange
9,20,5,18.15,92.34,6.3,119.69,orange
8,8,7,29.23,92.13,7.13,100.42,orange
1,16,13,32.13,90.43,7.08,118.26,orange
16,26,6,33.38,93.76,7.88,113.53,orange
15,28,8,18.3,93.5,7.53,118.59,orange
8,25,12,11.59,91.94,6.57,106.09,orange
39,21,12,34.42,91.89,7.6,108.69,orange
35,10,14,15.47,91.63,7.51,107.88,orange
24,16,12,15.71,90.29,6.6,109.49,orange
7,14,9,11.43,92.92,7.77,103.03,orange
24,22,9,27.53,92.05,7.01,100.15,orange
28,22,5,19.21,94.9,6.84,110.04,orange
36,23,11,29.95,94.32,6.91,109.5,orange
15,29,12,12.08,94.31,6.96,101.38,orange
22,15,14,15.1,94.13,7.12,101.09,orange
39,18,8,21.74,94.29,6.61,103.85,orange
5,12,13,21.79,91.14,6.33,106.65,orange
38,14,15,22.13,90.9,7.78,109.21,orange
28,30,6,12.42,93.6,6.56,103.69,orange
2,6,13,13.36,92.34,7.21,108.57,orange
1,25,5,29.05,94.47,6.87,110.71,orange
19,15,14,32.35,91.68,7.23,118.54,orange
38,18,10,16.97,94.79,6.29,111.6,orange
11,12,9,34.97,90.27,7.16,101.65,orange
6,16,10,16.47,91.58,6.17,106.06,orange
39,29,8,24.27,94.55,6.01,116.21,orange
38,7,7,34.02,92.69,6.03,105.15,orange
18,22,12,34.89,91.44,7.08,110.67,orange
16,9,15,31.33,92.49,7.21,104.55,orange
22,22,10,34.76,93.06,6.74,115.44,orange
7,15,8,20.8,93.91,6.97,115.88,orange
23,14,13,15.96,91.12,7.01,105.22,orange
0,21,10,21.14,94.83,7.14,117.27,orange
6,19,14,24.58,93.59,6.74,101.85,orange
18,15,14,16.1,94.83,7.92,104.95,orange
14,27,15,21.09,91.6,7.05,113.76,orange
11,23,6,11.23,91.93,6.71,106.31,orange
20,13,7,17.74,94.87,6.82,108.89,orange
23,30,7,27.03,93.58,7.21,101.77,orange
27,7,11,28.49,91.05,7.68,100.61,orange
34,17,7,13.34,94.77,6.15,103.98,orange
14,21,10,13.14,91.45,6.48,104.27,orange
16,23,7,19.17,91.95,7.95,119.09,orange
32,11,6,17.92,91.33,7.01,115.55,orange
34,26,9,27.18,91.56,6.12,114.03,orange
0,15,8,27.33,93.83,6.61,116.23,orange
12,16,12,27.32,94.94,6.45,113.25,orange
24,28,7,28.79,92.84,6.55,109.49,orange
13,19,14,24.23,93.16,7.04,101.02,orange
9,17,8,14.54,92.52,6.65,105.16,orange
19,8,14,31.69,93.54,6.21,115.52,orange
32,24,6,26.1,94.17,7.15,112.93,orange
18,18,5,25.97,90.41,6.87,105.85,orange
22,8,12,29.88,90.82,6.21,102.91,orange
35,18,10,12.67,93.25,7.74,116.56,orange
25,7,6,11.23,91.29,6.27,105.2,orange
15,29,11,30.87,93.55,6.23,114.72,orange
11,21,8,34.94,91.32,6.56,118.61,orange
1,22,12,30.91,94.87,7.95,101.31,orange
33,21,11,13.21,93.25,7.96,118.24,orange
18,6,9,30.66,93.51,6.92,101.1,orange
17,17,14,26.03,91.56,7.05,101.32,orange
39,14,10,18.88,93.41,7.32,114.31,orange
31,63,76,19.62,14.24,7.79,91.09,chickpea
56,66,80,17.31,18.02,8.46,72.34,chickpea
37,76,84,17.97,17.3,6.58,68.06,chickpea
56,76,83,17.2,19.06,7.31,75.27,chickpea
42,57,83,19.33,15.12,6.56,70.53,chickpea
22,70,83,17.07,14.29,7.72,89.58,chickpea
33,64,81,18.1,14.16,8.21,83.77,chickpea
43,74,82,17.82,16.11,6.38,68.9,chickpea
47,76,85,19.51,15.1,6.32,89.39,chickpea
43,70,83,19.81,19.01,6.17,87.43,chickpea
54,62,81,18.26,19.75,6.1,82.39,chickpea
27,73,77,17.94,16.97,8.74,71.35,chickpea
26,74,80,20.65,14.88,7.94,71.99,chickpea
26,72,81,20.02,15.86,7.34,77.16,chickpea
59,62,78,18.42,17.39,6.76,92.46,chickpea
31,77,76,19.63,19.44,6.51,94.05,chickpea
38,79,82,18.21,15.13,6.91,67.79,chickpea
26,58,79,20.18,14.85,6.39,84.3,chickpea
28,57,77,20.69,18.93,7.06,84.67,chickpea
41,72,82,19.51,15.6,6.12,78.67,chickpea
56,69,83,20.97,14.98,8.08,85.23,chickpea
59,80,82,17.97,18.79,6.32,88.42,chickpea
56,65,81,18.72,16.63,6.93,87.86,chickpea
57,79,77,20.5,18.42,6.76,67.02,chickpea
31,78,81,19.88,15.54,8.16,65.84,chickpea
35,71,76,20.29,15.41,7.96,77.16,chickpea
44,58,75,20.64,15.62,8.46,94.98,chickpea
28,62,82,20.86,19.49,7.51,88.85,chickpea
25,79,85,17.65,15.8,6.3,73.15,chickpea
53,64,76,18.37,19.89,7.89,77.48,chickpea
27,80,83,18.13,14.42,6.17,68.61,chickpea
43,78,80,20.37,16.68,8.13,86.96,chickpea
27,64,81,17.28,16.17,7.6,94.89,chickpea
39,75,79,20.19,17.57,8.66,77.33,chickpea
44,71,79,17.58,14.56,6.05,91.21,chickpea
29,60,82,18.28,17.04,6.49,93.79,chickpea
54,77,79,20.05,14.86,6.03,65.6,chickpea
43,66,80,17.03,16.54,8.15,78.28,chickpea
49,61,83,19.35,15.26,6.71,83.84,chickpea
53,65,78,20.47,18.02,7.34,79.64,chickpea
28,71,79,20.98,16.88,7.46,81.98,chickpea
57,75,80,19.87,17.52,7.48,70.77,chickpea
39,61,84,18.34,19.71,7.6,83.95,chickpea
42,58,79,17.4,17.74,7.34,88.34,chickpea
29,59,79,20.71,18.26,7.26,80.52,chickpea
23,80,82,18.14,17.51,6.33,93.98,chickpea
27,71,77,19.87,18.66,8.02,83.43,chickpea
56,57,78,17.99,19.93,7.17,86.98,chickpea
47,60,77,18.13,16.47,6.7,65.59,chickpea
55,79,78,18.35,14.04,8.04,89.76,chickpea
26,59,83,19.47,14.27,7.87,74.27,chickpea
35,74,83,18.6,19.68,7.22,88.16,chickpea
39,77,84,17.35,19.62,8.48,88.74,chickpea
28,75,84,18.16,19.71,6.15,69.5,chickpea
42,69,81,17.07,19.76,6.13,69.29,chickpea
21,69,84,19.66,18.94,6.04,81.26,chickpea
38,67,76,19.74,17.02,8.3,79.56,chickpea
26,71,77,20.49,17.68,6.47,93.87,chickpea
41,57,81,18.01,18.82,8.45,94.37,chickpea
40,66,83,17.53,17.28,7.64,67.68,chickpea
37,76,84,17.4,14.54,6.79,91.24,chickpea
25,73,76,19.49,16.14,8.37,72.01,chickpea
46,61,82,20.49,14.76,8.6,82.81,chickpea
25,66,77,19.8,18.55,6.32,80.18,chickpea
53,78,80,20.8,17.21,7.18,90.45,chickpea
40,67,80,20.39,18.99,7.21,75.0,chickpea
40,69,77,20.18,16.92,7.0,68.2,chickpea
30,79,78,17.68,16.76,6.92,66.05,chickpea
33,69,81,18.43,16.68,8.9,76.32,chickpea
30,61,80,20.04,15.24,8.13,65.63,chickpea
37,74,78,19.25,15.23,8.23,66.57,chickpea
54,60,84,18.41,18.34,6.96,92.18,chickpea
25,59,80,17.33,15.18,8.83,94.29,chickpea
35,78,80,18.08,18.21,7.98,94.67,chickpea
31,72,76,17.45,14.02,9.0,89.07,chickpea
51,68,78,17.61,15.71,7.13,87.69,chickpea
42,57,75,17.41,16.46,8.8,84.12,chickpea
52,67,79,17.43,19.26,8.35,70.04,chickpea
40,67,81,20.78,17.48,7.62,66.51,chickpea
23,60,75,19.97,18.34,6.41,90.08,chickpea
26,63,77,18.49,15.53,7.47,77.22,chickpea
59,56,76,17.21,17.76,6.16,90.09,chickpea
40,68,81,17.68,15.19,6.96,82.8,chickpea
28,58,85,17.09,18.82,8.36,73.92,chickpea
25,59,82,19.57,18.7,8.81,85.76,chickpea
26,61,83,17.84,14.44,8.11,77.08,chickpea
57,71,76,20.79,15.55,7.01,77.07,chickpea
22,67,76,18.6,16.1,8.32,89.1,chickpea
26,64,79,17.61,18.79,8.12,70.71,chickpea
35,58,81,17.49,19.92,8.34,76.71,chickpea
43,78,81,17.7,16.27,8.53,84.33,chickpea
46,77,84,20.68,14.57,7.63,87.22,chickpea
50,70,77,20.19,18.32,6.26,78.91,chickpea
27,63,75,18.6,17.3,7.86,84.9,chickpea
53,60,76,20.41,14.94,8.92,90.28,chickpea
40,80,76,18.21,17.83,7.05,92.85,chickpea
23,69,81,19.61,15.53,7.09,90.31,chickpea
28,76,81,20.05,18.28,6.62,82.06,chickpea
55,66,85,18.81,14.86,7.17,93.55,chickpea
33,77,84,18.4,14.5,8.17,74.35,chickpea
31,66,20,22.78,20.68,5.72,93.86,kidneybeans
15,68,23,18.62,21.67,5.84,84.25,kidneybeans
11,78,22,20.77,22.53,5.51,115.63,kidneybeans
20,69,19,15.81,19.35,5.98,96.78,kidneybeans
19,56,15,22.17,21.77,5.75,81.88,kidneybeans
30,59,17,19.61,20.0,5.62,118.07,kidneybeans
26,76,19,15.73,19.92,5.99,113.66,kidneybeans
28,55,20,15.38,21.98,5.96,147.16,kidneybeans
22,66,24,21.74,18.45,5.73,81.62,kidneybeans
19,66,21,18.57,19.15,5.75,134.72,kidneybeans
27,63,24,24.12,19.47,5.52,126.72,kidneybeans
33,79,24,21.01,21.71,5.51,82.2,kidneybeans
18,71,21,22.43,19.96,5.78,67.93,kidneybeans
17,74,22,24.91,19.95,5.75,89.66,kidneybeans
18,76,22,23.82,19.42,5.94,65.38,kidneybeans
36,63,18,20.12,24.58,5.52,91.7,kidneybeans
34,65,17,19.25,20.7,5.96,128.57,kidneybeans
20,80,20,15.58,19.84,5.72,74.12,kidneybeans
38,74,18,20.91,23.05,5.97,139.35,kidneybeans
21,74,21,20.53,18.8,5.56,107.66,kidneybeans
11,56,22,15.32,22.17,5.77,147.19,kidneybeans
19,57,21,23.41,24.98,5.72,88.83,kidneybeans
36,60,21,19.06,18.29,5.67,83.87,kidneybeans
27,79,18,23.11,18.39,5.77,66.35,kidneybeans
37,74,22,23.24,22.53,5.98,124.26,kidneybeans
37,68,16,20.28,18.89,5.8,103.42,kidneybeans
25,55,17,19.91,24.65,5.69,98.19,kidneybeans
29,70,18,19.11,19.52,5.98,71.76,kidneybeans
15,56,17,22.8,19.41,5.54,102.7,kidneybeans
0,57,23,22.71,24.41,5.93,121.49,kidneybeans
2,75,23,22.99,21.56,5.62,136.08,kidneybeans
29,80,17,17.26,19.48,5.9,76.82,kidneybeans
3,80,15,23.35,20.56,5.92,109.92,kidneybeans
36,78,15,15.75,19.75,5.83,139.94,kidneybeans
18,70,17,23.05,24.77,5.63,104.53,kidneybeans
3,69,20,16.44,21.09,5.67,106.96,kidneybeans
23,55,23,22.13,20.56,5.53,127.94,kidneybeans
38,61,18,16.84,22.04,5.58,92.06,kidneybeans
28,69,19,19.2,21.93,5.5,67.07,kidneybeans
35,57,22,24.2,19.89,5.69,111.2,kidneybeans
35,79,22,15.87,22.68,5.71,102.36,kidneybeans
2,60,23,19.54,20.11,5.69,136.9,kidneybeans
30,62,16,17.52,24.45,5.79,108.01,kidneybeans
24,64,23,20.23,18.82,5.56,108.32,kidneybeans
37,63,24,22.64,19.73,5.52,69.17,kidneybeans
29,60,19,20.02,23.08,5.56,96.57,kidneybeans
19,69,23,16.72,23.65,5.85,110.03,kidneybeans
28,65,16,21.66,21.67,5.82,90.42,kidneybeans
36,70,16,19.5,23.29,5.9,104.51,kidneybeans
36,62,19,23.99,24.27,5.84,137.31,kidneybeans
4,77,18,16.78,19.68,5.71,82.61,kidneybeans
13,58,18,20.72,21.09,5.67,127.18,kidneybeans
36,74,18,22.44,19.06,5.57,91.11,kidneybeans
32,61,16,16.32,24.01,5.82,82.79,kidneybeans
22,68,22,17.33,24.05,5.65,122.47,kidneybeans
1,64,19,20.43,18.51,5.9,79.6,kidneybeans
27,75,21,22.41,22.63,5.68,132.8,kidneybeans
12,69,22,18.79,20.12,5.73,133.62,kidneybeans
37,69,22,24.03,18.69,5.62,123.8,kidneybeans
33,76,19,15.89,21.06,5.62,86.21,kidneybeans
31,57,23,19.28,22.17,5.54,90.36,kidneybeans
4,79,23,19.6,19.57,5.97,91.01,kidneybeans
6,69,24,15.04,19.67,5.97,75.4,kidneybeans
5,69,24,19.77,24.96,5.84,66.67,kidneybeans
40,65,18,20.58,20.13,5.54,60.13,kidneybeans
18,76,21,24.99,20.01,5.64,74.38,kidneybeans
7,62,23,24.06,24.83,5.62,139.32,kidneybeans
13,58,24,21.36,19.15,5.71,85.85,kidneybeans
29,66,25,15.55,20.49,5.74,105.28,kidneybeans
13,73,24,24.39,23.64,5.93,109.55,kidneybeans
33,63,19,18.17,21.27,5.64,146.55,kidneybeans
13,57,20,15.57,18.77,5.61,101.79,kidneybeans
17,75,22,19.26,20.34,5.66,129.66,kidneybeans
2,55,23,19.77,18.92,5.62,143.93,kidneybeans
34,73,20,20.2,24.83,5.98,79.37,kidneybeans
32,60,17,21.76,20.84,5.97,68.01,kidneybeans
20,78,24,16.57,20.57,5.81,74.35,kidneybeans
39,78,17,16.21,18.6,5.95,77.43,kidneybeans
17,66,21,15.72,19.59,5.97,141.76,kidneybeans
31,55,18,21.28,19.93,5.95,117.05,kidneybeans
3,78,25,15.78,21.73,5.65,95.36,kidneybeans
7,69,25,20.03,18.58,5.81,90.62,kidneybeans
34,66,17,16.91,23.38,5.63,129.05,kidneybeans
8,63,20,24.43,24.52,5.6,92.24,kidneybeans
6,68,20,24.01,24.51,5.69,104.26,kidneybeans
36,75,15,18.2,20.95,5.61,77.96,kidneybeans
2,71,18,15.52,19.62,5.9,136.63,kidneybeans
19,65,25,17.01,19.51,5.65,75.55,kidneybeans
15,78,21,19.12,24.54,5.52,78.92,kidneybeans
23,70,15,19.03,22.54,5.85,117.43,kidneybeans
13,57,19,16.29,24.63,5.74,88.55,kidneybeans
31,67,18,23.12,24.07,5.84,64.23,kidneybeans
23,74,16,17.29,24.18,5.51,127.75,kidneybeans
19,66,15,23.19,20.52,5.77,120.96,kidneybeans
28,79,20,19.0,24.68,5.82,86.83,kidneybeans
5,76,19,21.6,21.3,5.6,114.15,kidneybeans
2,65,20,19.36,23.24,5.91,129.41,kidneybeans
2,60,20,24.35,23.84,5.92,87.29,kidneybeans
17,67,17,15.31,24.63,5.62,81.6,kidneybeans
3,78,21,21.67,24.38,5.67,115.94,kidneybeans
